GERMAN_NOUN,ENGLISH_TRANSLATION,PLURAL,EXAMPLE
der Bube,boy (B~),,Hubertus ist gerade Vater eines Buben geworden.
die Gleichung,equation,,Die Gleichung geht nicht auf.
die Geste,gesture,,Die Einladung zum Mittagessen war eine nette Geste.
die Durchführung,carrying out (D~),,Die Durchführung der Wahlen verlief problemlos.
die Bestellung,"order, reservation",,Können wir die Bestellung aufgeben?
das Gedächtnis,memory (G~),die Gedächtnisse,Stephan hat ein gutes Gedächtnis.
die Burg,castle (B~),die Burgen,Der Weg zur Burg ist sehr steil.
das Gefängnis,prison,die Gefängnisse,Dafür kann man ins Gefängnis kommen.
die Mitteilung,"communication, announcement (M~)",die Mitteilungen,Die Mitteilung kommt mit der Post.
die Meldung,report (M~),die Meldungen,Es gab widersprüchliche Meldungen aus dem Krisengebiet.
die Nahrung,"nourishment, food (N~, short form)",die Nahrungen,Während des Krieges war die Nahrung streng rationiert.
die Infrastruktur,infrastructure,die Infrastrukturen,Die Region ist wegen ihrer guten Infrastruktur attraktiv für Investoren.
der Schein,"light, appearance, certificate",die Scheine,Der Arzt stellt einen Schein aus.
die Philosophie,philosophy,die Philosophien,"Christine studiert Mathematik, besucht aber auch Kurse in Philosophie."
der Schnitt,cut,die Schnitte,Der Verkäufer trennt dem Fisch mit einem Schnitt den Kopf ab.
der Offizier,officer,die Offiziere,Abends treffen sich die Offiziere im Kasino.
der Nebel,fog,die Nebel,Dichter Nebel behindert den Verkehr.
die Mission,mission,die Missionen,In welcher Mission ist der Außenminister in Asien unterwegs?
die Oma,grandma,die Omas,Die Ferien verbringen die Kinder bei ihrer Oma.
der Katalog,catalogue,die Kataloge,Die Hose hab ich im Katalog bestellt.
die Schnittstelle,interface,die Schnittstellen,Hat der Laptop eine USB-Schnittstelle?
die Sehnsucht,longing,die Sehnsüchte,Julia hat Sehnsucht nach Romeo.
die Schulden,"liabilities, debt",no singular,"Um das neue Auto kaufen zu können, musste er Schulden machen."
die Herrschaft,"power, reign (H~)",die Herrschaften,Unter der Herrschaft Herzog Emsts wurde das Schloss gebaut.
die Realisierung,"realisation, implementation (R~)",die Realisierungen,Zur Realisierung des Projekts fehlen noch 800 Euro.
das Stadion,stadium,die Stadien,Das Stadion hat 40 000 Plätze.
der Tipp,"tip, hint (T~)",die Tipps,Ich gebe dir einen Tipp.
die Wurzel,root,die Wurzeln,"Kiefern haben tiefe Wurzeln, Fichten dagegen flache."
die Wunde,wound,die Wunden,Die Mutter klebt ihrem Sohn ein Pflaster auf die Wunde.
der Skandal,scandal,die Skandale,Die Scheidung war ein Skandal.
das Wiedersehen,reunion,die Wiedersehen,Wir freuen uns auf ein baldiges Wiedersehen.
das Zeugnis,"report, testimonial (Z~)",die Zeugnisse,Am letzten Schultag gibt es Zeugnisse.
der Zeuge,witness,die Zeugen,Martin wurde Zeuge des Unfalls.
die Bundesliga,"(sport) bundesliga, national division",,Der Fußballverein stieg in die Bundesliga auf.
der Befehl,"command, order (B~)",die Befehle,Auch einem Befehl kann man widersprechen.
die Bereitschaft,willingness,die Bereitschaften,Die Institute zeigen Bereitschaft zur Kooperation.
der Bogen,"bow, arc, sheet",die Bogen,Robin Hood schießt mit Pfeil und Bogen.
die Ehre,honour,die Ehren,"Es ist eine große Ehre, mit dem Nobelpreis ausgezeichnet zu werden."
die Anpassung,"adjustment, adaptation",die Anpassungen,Die Anpassung der Wünsche an die Realität  fällt nicht immer leicht.
der Anblick,sight,die Anblicke,Dieses Gemälde bietet einen schönen Anblick.
das Arbeitsamt,employment office,die Arbeitsämter,Am Dienstag habe ich wieder vier Stunden auf dem Arbeitsamt zugebracht.
die Droge,drug,die Drogen,"Es gibt Beratungsstellen für Menschen, die Probleme mit Drogen haben."
die Beschwerde,complaint (B~),die Beschwerden,Ihrer Beschwerde werde ich nachgehen.
das Anliegen,request (Anl~),die Anliegen,"Wenn Sie gestatten, hätte ich noch ein kleines Anliegen."
das Eigentum,"property, possession (E~)",die Eigentume,Das ist mein Eigentum.
der Anstieg,"rise, increase (An~)",die Anstiege,Ein Anstieg der Steuern ist unvermeidlich.
die Formulierung,formulation,die Formulierungen,Die Formulierung ist noch etwas steif.
das Gelände,"ground, site (G~)",die Gelände,In dem waldreichen Gelände konnte man selten weit sehen.
der Geliebte,lover,die Geliebten,Gewöhnlich versteckt man seinen Geliebten im Kleiderschrank.
der Einzelfall,individual case,die Einzelfälle,Es handelt sich hier um einen Einzelfall.
die Inszenierung,"production, staging",die Inszenierungen,Die Inszenierung an der Leipziger Oper hat mir am besten gefallen.
die Feststellung,"observation, remark (F~)",die Feststellungen,"Erlauben Sie mir die Feststellung, dass dies nicht zum ersten Mal passiert ist."
die Kiste,"box, crate (Ki~)",die Kisten,Nach dem Umzug stand die neue Wohnung voller Kisten.
der Knochen,bone,die Knochen,Der Hund bekommt die Knochen vom Braten.
die Geschwister,siblings,no singular,Ingrid hat vier Geschwister.
der Kapitän,captain,die Kapitäne,"Nicht nur Schiffe, auch Fußballmannschaften haben einen Kapitän."
das Gramm,gram,die Gramme,Für meine Eierkuchen brauche ich 200 Gramm Mehl.
der Erreger,"(disease) agent, virus, germ",die Erreger,Der Erreger der Vogelgrippe ist jetzt bekannt.
der Kontext,context (K~),die Kontexte,"Es ist wichtig, Vokabeln im Kontext zu lernen."
die Epoche,epoch,die Epochen,Mit Goethes Tod endet die Epoche der Weimarer Klassik.
die Show,show,die Shows,Hast du gestern die Show im Fernsehen gesehen?
der Mörder,murderer,die Mörder,Mörder können durch DNA-Analysen schnell gefunden werden.
die Mode,fashion,die Moden,Digitale Armbanduhren sind aus der Mode gekommen.
der Lohn,"wage, pay, reward",die Löhne,Der Lohn wird am Zehnten des Folgemonats gezahlt.
der Magen,stomach,die Mägen,Mein Magen tut weh.
die Stiftung,"foundation, institute, donation",die Stiftungen,Stiftungen unterstützen gemeinnützige Projekte mit Geld.
das Kunstwerk,work of art,die Kunstwerke,"Das ist kein Schrott, sondern ein modernes Kunstwerk."
die Öffnung,"opening, hole (Ö~)",die Öffnungen,Wir müssen die Öffnung des Safes veranlassen.
die Reflexion,reflection,die Reflexionen,Eine genaue Reflexion des Problems ist dringend nötig.
der Lastkraftwagen,truck,die LKW,"Ich habe so viele Sachen, dass ich zum Umzug einen LKW brauche."
die Rente,pension,die Renten,Von der staatlichen Rente kann man kaum leben.
das Lebewesen,living being,die Lebewesen,Menschen zählen wir zu den hoch entwickelten Lebewesen.
das Rathaus,town hall,die Rathäuser,Der Stadtrat debattiert mittwochs im Rathaus.
die Partie,game (P~),die Partien,Spielen wir noch eine Partie Schach?
die Zone,zone,die Zonen,In dieser Zone des Bahnhofs herrscht Rauchverbot.
die Wechselwirkung,interaction,die Wechselwirkungen,Wechselwirkungen mit anderen Medikamenten sind nicht bekannt.
der Zins,(bank) interest,die Zinsen,Bei dieser Investition kann man vier Prozent Zinsen erwarten.
die Version,version,die Versionen,Die neue Version des Computerprogramms ist leistungsstärker als die alte.
die Unterscheidung,"differentiation, distinction (U~)",die Unterscheidungen,"Ich finde es wichtig, diese Unterscheidung zu machen."
der Abbau,"reduction, dismantling, mining",die Abbaue,Wir bedauern den Abbau von Arbeitsplätzen sehr.
die Agentur,agency,die Agenturen,Die Agentur wird von verschiedenen Personen geführt.
die Akademie,academy,die Akademien,Die Jury der Akademie hat sich für einen Kandidaten entschieden.
der Teller,plate,die Teller,Helge lädt sich drei Stück Kuchen auf seinen Teller.
der Wähler,voter,die Wähler,Die Wähler warten auf die Umsetzung der Wahlversprechen.
der Zettel,"piece of paper, note",die Zettel,Der ganze Schreibtisch liegt voller Zettel.
die Anfrage,"inquiry, request (Anf~)",die Anfragen,Wir senden Ihnen auf Anfrage gern eine Broschüre zu.
das Dokument,document,die Dokumente,Ein Zeugnis ist ein wichtiges Dokument.
die Aufführung,performance (A~),die Aufführungen,"Die Schüler planen eine Aufführung von Schillers ""Don Carlos""."
der Buchstabe,letter (of the alphabet),die Buchstaben,Wie viele Buchstaben hat das deutsche Alphabet?
der Ausbau,"extension, consolidation (A~)",die Ausbauten,Der Ausbau des Hauses erfolgt nur langsam.
die Einzelheit,detail (E~),die Einzelheiten,Die Einzelheiten klären wir in einem persönlichen Gespräch.
die Auflage,"edition, condition, plating",die Auflagen,Die Grammatik erscheint dieses Jahr in der dritten Auflage.
der Bär,bear,die Bären,In den Pyrenäen gibt es Bären.
das Bedenken,"concern, doubt (B~)",die Bedenken,"Hast du keine Bedenken, nach Kolumbien zu fahren?"
die Fusion,"fusion, merger",die Fusionen,Die Fusion der beiden Unternehmen ist für nächstes Jahr geplant.
das Gleichgewicht,balance,die Gleichgewichte,Das gesamtwirtschaftliche Gleichgewicht ist gestört.
die Kurve,curve,die Kurven,Das Auto kam in der Kurve ins Schleudern.
das Labor,laboratory,die Labors,Im Labor führt man chemische Experimente durch.
der Landkreis,district (L~),die Landkreise,Der Gesuchte wurde im Landkreis Regensburg gefasst.
der Finanzminister,finance minister,die Finanzminister,Der derzeitige deutsche Finanzminister heißt Hans Eichel.
der Geruch,smell,die Gerüche,Der Geruch ist unerträglich.
der Führer,"leader, guide (F~)",die Führer,Ein Führer begleitete unseren Stadtrundgang und erklärte uns viel.
die Erfüllung,fulfilment,die Erfüllungen,"Ich hoffe, dein Wunsch geht in Erfüllung."
die Kollegin,colleague (female),die Kolleginnen,Wir haben eine tschechische Kollegin im Betrieb.
der Komponist,composer,die Komponisten,Johann Sebastian Bach war Komponist.
der Investor,investor,die Investoren,Wir müssen einen Investor für unser Projekt finden.
der Kerl,"fellow, bloke",die Kerle,Christoph ist ein komischer Kerl.
der Profi,"pro, professional",die Profis,Der Einbrecher muss ein Profi gewesen sein.
das Märchen,fairy tale,die Märchen,Kinder lieben Märchen.
die Pflege,care (P~),no plural,Diese Pflanze braucht viel Licht und Pflege.
das Regime,regime,die Regime,Die Bevölkerung Chiles litt unter dem diktatorischen Regime.
die Plattform,platform,die Plattformen,Es wurde eine Plattform zum Informationsaustausch im Internet eingerichtet.
das Möbel,(piece of) furniture,die Möbel,Wir kaufen uns neue Möbel.
das Mittelalter,Middle Ages,no plural,Im Mittelalter starben viele Menschen an Seuchen.
der Rock,1) skirt; 2) rock music,1) die Röcke; 2) no plural,Schotten tragen Röcke.
der Posten,"post, position",die Posten,Er ist die richtige Person für diesen Posten.
der Ofen,"oven, stove (O~)",die Öfen,In ihrer Wohnung wird noch mit einem Ofen geheizt.
der Schrank,"cabinet, wardrobe",die Schränke,Familie Laue hat sich einen neuen Schrank gekauft.
das Nerv,nerve,die Nerven,Meine Nerven sind sehr angespannt.
der Rücktritt,resignation,die Rücktritte,Der Direktor hat seinen baldigen Rücktritt angekündigt.
die Moderne,modern age,no plural,Das Weltbild änderte sich in der Moderne grundlegend.
der Vorhang,curtain,die Vorhänge,Die Vorhänge sind schmutzig.
der Winkel,"angle, corner",die Winkel,Ein gleichseitiges Dreieck hat drei Winkel zu je 60 Grad.
die Unsicherheit,uncertainty,die Unsicherheiten,Bei vielen Jugendlichen herrscht Unsicherheit hinsichtlich ihrer Berufswahl.
der Status,status,die Status,Lehrer haben in Frankreich einen hohen Status.
der Topf,pot,die Töpfe,Nimm einen größeren Topf!
der Tanz,dance,die Tänze,Wir haben einen klassischen Tanz gelernt.
das Zitat,"quotation, quote",die Zitate,Von wem ist dieses Zitat?
die Sekretärin,secretary (female),die Sekretärinnen,Sie bewirbt sich um eine Stelle als Sekretärin.
der Staub,dust,die Staube,Stephan hat eine Allergie gegen Staub.
der Sportler,athlete,die Sportler,Wer ist der beliebteste Sportler der Deutschen?
die Solidarität,solidarity,no plural,Viele Menschen drückten durch Spenden ihre Solidarität mit den Opfern aus.
die Stabilität,stability,die Stabilitäten,Außenpolitische Stabilität ist sehr wichtig.
der Überblick,overview (not 'Übersicht'),die Überblicke,Zu Beginn des Seminars wird ein Überblick über die einzelnen Veranstaltungen gegeben.
das Abenteuer,adventure,die Abenteuer,Unser letzter Urlaub war ein richtiges Abenteuer.
die Allianz,alliance (A~),die Allianzen,Diplomatie macht auch unpopuläre Allianzen möglich.
die Abgrenzung,"boundary, disassociation",die Abgrenzungen,Eine Abgrenzung von Privatsphäre und Öffentlichkeit ist unbedingt notwendig.
die Begeisterung,enthusiasm,die Begeisterungen,Doktor Seydlitz praktiziert seinen Beruf mit Begeisterung.
der Akteur,"player, actor (A~)",die Akteure,Das Theaterstück wird trotz des Ausfalls von drei Akteuren aufgeführt.
der Ausgleich,"balancing, compensation, change",die Ausgleiche,Sport ist ein guter Ausgleich zu geistiger Tätigkeit.
die Armut,poverty,no plural,Armut ist auch ein Problem von reichen Ländern.
der Akt,act,"die Akte, die Akten",Der dritte Akt des Stückes gefiel mir am besten.
der Bezirk,district (B~),die Bezirke,Die ehemalige DDR war in Bezirke eingeteilt.
die Eröffnung,opening (E~),die Eröffnungen,Die Eröffnung des neuen Museums fand vor drei Wochen statt.
die Empfehlung,recommendation,die Empfehlungen,Dieses Gericht ist eine Empfehlung des Hauses.
das Chinesisch,Chinese (language),no plural,Sprichst du Chinesisch?
der Durchmesser,diameter,die Durchmesser,Der Durchmesser dieses Kreises beträgt fünf Zentimeter.
die Diagnose,diagnosis,die Diagnosen,Wir warten noch auf die ärztliche Diagnose.
die Einladung,invitation,die Einladungen,Ich habe eine Einladung zur Hochzeit bekommen.
"der Fels, der Felsen",rock (F~),die Felsen,Auf den Felsen am Meer haben wir ein Picknick gemacht.
das Dunkel,darkness (short form),no plural,Ich gehe nicht gern im Dunkeln nach Hause.
die Großstadt,large city/town,die Großstädte,Berlin ist eine Großstadt.
der Hügel,hill,die Hügel,Auf dem Hügel steht eine kleine Kirche.
der Hang,"slope, inclination",die Hänge,Das Auto stürzt den Hang hinunter.
die Fülle,abundance,no plural,Es gibt eine Fülle an Möglichkeiten.
das Gebirge,"mountains, mountain range",die Gebirge,Letzten Sommer fuhren wir ins Gebirge.
die Flüssigkeit,liquid,die Flüssigkeiten,Man sollte täglich mehrere Liter Flüssigkeit zu sich nehmen.
das Gras,grass,die Gräser,Das Gras ist grün.
das Geschäftsjahr,financial year,die Geschäftsjahre,Das Geschäftsjahr 2004 war ein erfolgreiches Jahr.
der Ingenieur,engineer,die Ingenieure,Falks Vater ist Ingenieur.
das Fräulein,"young lady, miss",die Fräulein,"Guten Tag, Fräulein Müller!"
der Kongress,"congress, convention",die Kongresse,Der Kongress findet auf der Neuen Messe statt.
der Friedhof,cemetery,,Der Friedhof liegt im Osten der Stadt.
die Front,front,die Fronten,Die Front des Hauses wird restauriert.
die Orientierung,orientation (O~),die Orientierungen,In großen Städten verliere ich leicht die Orientierung.
der Stolz,pride,no plural,Sie empfindet sehr viel Stolz für ihre Kinder.
die Teilnahme,participation (T~),no plural,Ich freue mich über die rege Teilnahme am Seminar.
der Nachweis,"proof, evidence, certificate (N~)",die Nachweise,"Wir benötigen einen Nachweis darüber, dass Sie studieren."
der Senat,senate,die Senate,Der Senat hat eine Entscheidung getroffen.
der Muskel,muscle,die Muskeln,Beim Sport trainiert man die Muskeln.
der Rhythmus,rhythm,die Rhythmen,Zu diesem Rhythmus kann man gut tanzen.
die Steuerung,"control, steering (S~)",die Steuerungen,Die Steuerung der Maschinen erfolgt von diesem Raum aus.
das Polnisch,Polish (language),no plural,Judith lernt Polnisch und Tschechisch.
die Rücksicht,consideration (R~),die Rücksichten,Du solltest Rücksicht auf deine Geschwister nehmen.
der Personenkraftwagen,"car, auto (P~)",,Die Anreise erfolgt mit dem PKW.
die Vorsicht,caution,no plural,Beim Autofahren ist viel Vorsicht geboten.
die Unterlagen,documents,no singular,Wir benötigen noch verschiedene Unterlagen von Ihnen.
die Vertretung,"replacement, substitute (V~)",die Vertretungen,Während ihres Erziehungsurlaubs wird es eine Vertretung geben.
die Wahrscheinlichkeit,probability,die Wahrscheinlichkeiten,"Die Wahrscheinlichkeit, dass er kommt, ist sehr gering."
die Vereinigung,"organization, association, unification (V~)",die Vereinigungen,Er wurde der Mitgliedschaft in einer kriminellen Vereinigung angeklagt.
das Universum,universe,die Universen,Wie groß ist das Universum?
die Unterhaltung,"entertainment, conversation",die Unterhaltungen,Die Teilnehmer haben eine sehr interessante Unterhaltung geführt.
die Wange,cheek,die Wangen,Du hast rote Wangen.
die Volkshochschule,adult education centre,die Volkshochschulen,Christiane gibt Kurse an der Volkshochschule.
die Anordnung,order (An~),die Anordnungen,Wer gibt hier die Anordnungen?
die Abstimmung,"vote, coordination",die Abstimmungen,Die Entscheidung wurde in Abstimmung mit der Personalabteilung getroffen.
die Ablehnung,"refusal, rejection",die Ablehnungen,Das Reformkonzept stieß auf Zurückhaltung und Ablehnung.
die Zeichnung,drawing,die Zeichnungen,Sie hat viele Zeichnungen aus ihrer Kindheit.
die Zwiebel,"onion, bulb",die Zwiebeln,Wir haben keine Zwiebeln mehr.
die Zunahme,increase (Zun~),die Zunahmen,Wegen starker Zunahme der Studierenden müssen Zulassungsbeschränkungen vorgenommen werden.
der Aufsatz,essay,die Aufsätze,Im Deutschunterricht werden Aufsätze geschrieben.
die Anregung,"stimulus, idea (A~)",die Anregungen,In diesem Heft finden Sie viele Anregungen für Bastelarbeiten.
das Werkzeug,tool (W~),die Werkzeuge,Werkzeuge sind in der unteren Schublade.
der Betrachter,observer (Bet~),die Betrachter,Was fällt dem Betrachter des Bildes auf?
der Backofen,oven (B~),die Backöfen,Du musst den Backofen 10 Minuten vorheizen.
der Befund,results,die Befunde,In einer Woche kommt der Befund aus dem Labor.
das Betriebssystem,operating system,die Betriebssysteme,Unser Computer benötigt ein neues Betriebssystem.
der Beobachter,observer (Beo~),die Beobachter,Die UNO sendet Beobachter ins Krisengebiet.
der Bildschirm,"screen, monitor",die Bildschirme,Auf dem Bildschirm ist nichts zu sehen.
die Brille,glasses,die Brillen,Ich habe meine Brille verlegt.
die Datenverarbeitung,data processing,die Datenverarbeitungen,Durch die elektronische Datenverarbeitung wird vieles erleichtert.
die Bemühung,effort (B~),die Bemühungen,Trotz aller Bemühungen scheiterte unser Plan.
die Bakterie,bacterium,die Bakterien,Bakterien kann man mit Antibiotika bekämpfen.
die Blüte,blossom,die Blüten,Die Blüten dieser Pflanze sind gelb-rot.
der Berater,"advisor, consultant",die Berater,"Politiker haben viele Berater, die oft widersprüchlicher Meinung sind."
das Ensemble,ensemble,die Ensembles,Heute spielt ein berühmtes Ensemble aus Österreich.
die Enttäuschung,disappointment,die Enttäuschungen,Lucies Enttäuschung über die Absage ist groß.
die Faust,fist,die Fäuste,Moritz ballte seine Hand zur Faust.
die Eintragung,"entry, registration (E~)",die Eintragungen,In einem Tagebuch macht man persönliche Eintragungen.
das Festival,festival (not 'Fest'),die Festivals,Auf d em Festival waren sehr viele Menschen.
das Gemüse,vegetables,die Gemüse,"Zum Mittag gab es Schnitzel, Kartoffeln und Gemüse."
die Galerie,gallery,die Galerien,Hast du schon die neue Galerie besichtigt?
der Eigentümer,owner (E~),die Eigentümer,Wir suchen den Eigentümer dieses Autos.
das Lokal,"pub, bar (L~)",die Lokale,Das Lokal schließt um Mitternacht.
der Lärm,noise (L~),no plural,Das Müllauto macht morgens Lärm.
der Liter,litre,die Liter,Man sollte jeden Tag mindestens zwei Liter Flüssigkeit trinken.
der Jazz,jazz,no plural,Carmen hört gern Jazz.
die Höhle,cave,die Höhlen,"Wir haben eine Höhle besichtigt, in der es Tropfsteine gibt."
der Hass,hatred,no plural,Kriege provozieren Hass und Gewalt.
die Innenstadt,"town centre, downtown (I~)",die Innenstädte,Die Leipziger Innenstadt ist gut überschaubar.
der Konsument,consumer (K~),die Konsumenten,In der Marktwirtschaft spricht man von Produzenten und Konsumenten.
der Großvater,grandfather,die Großväter,Lutz lebt bei seinem Großvater.
die Kohle,coal,die Kohlen,Früher heizten die Menschen mit Kohle.
die Genehmigung,"approval, permit, permission (G~)",die Genehmigungen,Für Ihr Vorhaben brauchen Sie eine amtliche Genehmigung.
das Kloster,"monastery, convent, cloister",die Klöster,Mönche und Nonnen leben im Kloster.
die Grundschule,primary school,die Grundschulen,Im Alter von 6 Jahren gehen Kinder in die Grundschule.
der Maßstab,"scale, yardstick, standard (M~)",die Maßstäbe,Diese Straßenkarte ist im Maßstab 1:5000.
die Münze,coin,die Münzen,Ronald sammelt alte Münzen.
das Praktikum,internship,die Praktika,Maria hat ein Praktikum in Italien gemacht.
der Stamm,"trunk, stem, tribe",die Stämme,Der Stamm dieses Baumes hat einen Durchmesser von einem Meter.
die Sportart,"(type of) sport, discipline",die Sportarten,Welche Sportart magst du am liebsten?
der Schuldner,debtor,die Schuldner,"Wenn ein Schuldner nicht zahlt, kann der Gläubiger gerichtlich gegen ihn vorgehen."
der Rückgang,"fall, decline (R~)",no plural,Wir haben einen Rückgang der Zuschauerzahlen zu verzeichnen.
das Netzwerk,network,die Netzwerke,"Das Unternehmen ist gerade dabei, ein internes Netzwerk einzurichten."
die Malerei,painting (M~),die Malereien,Wie gefällt dir die moderne Malerei?
der Sack,sack,die Säcke,Im Keller haben wir noch zwei Säcke Kartoffeln.
die Materie,matter (M~),die Materien,"Erst seit dem Urknall gibt es Materie, Raum und Zeit."
die Überprüfung,"screening, check, inspection",die Überprüfungen,Eine ständige Überprüfung der Produktqualität ist wünschenswert.
die Zunge,tongue,die Zungen,Dirk hat sich auf die Zunge gebissen.
die Versammlung,"meeting, gathering, assembly (V~)",die Versammlungen,Die Versammlung findet erst morgen statt.
der Streifen,"stripe, strip",die Streifen,Sie hat einen Rock mit grünen Streifen.
die Vermutung,"assumption, presumption (V~)",die Vermutungen,Meine Vermutung hat sich bestätigt.
die Tasse,cup,die Tassen,Ich trinke eine Tasse Tee.
der Teppich,carpet,die Teppiche,Justus gefällt unser gelber Teppich nicht.
der Unsinn,nonsense,no plural,Du redest Unsinn.
die Wirtschaftspolitik,economic policy,die Wirtschaftspolitiken,Die Wirtschaftspolitik der Regierung wird oft kritisiert.
die Wäsche,"washing, laundry",die Wäschen,Hängst du bitte die Wäsche auf?
das Verbot,"ban, prohibition",die Verbote,Ich halte dieses Verbot für gerechtfertigt.
das Zeug,stuff,die Zeuge,Wirf endlich das komische Zeug weg!
die Werkstatt,"workshop, garage",die Werkstätten,Das Auto muss zur Durchsicht in die Werkstatt.
der Teufel,devil,die Teufel,Der Teufellebt in der Hölle.
die Anweisung,instruction (An~),die Anweisungen,Bewahren Sie Ruhe und folgen Sie unbedingt den Anweisungen des Kabinenpersonals.
die Architektur,architecture,die Architekturen,Die mittelalterliche Architektur ist in Rothenburg noch gut erhalten.
das Antibiotikum,antibiotic,die Antibiotika,Sie muss Antibiotika gegen ihre Bronchitis nehmen.
der Ausgang,"exit, outcome, starting point",die Ausgänge,Der Ausgang des Hauses war versperrt.
der Ausflug,"outing, trip",die Ausflüge,Am Sonntag machen wir einen Ausflug mit dem Fahrrad.
der Aufstieg,"climb, rise (Auf~)",die Aufstiege,Der Aufstieg zur Burg ist sehr steil.
das Atom,atom,die Atome,Moleküle sind Verbindungen aus Atomen.
die Ausstattung,"equipment, provision, furnishings (A~)",die Ausstattungen,Die technische Ausstattung sollte noch verbessert werden.
der Anzug,suit,die Anzüge,Ich passe nicht mehr in meinen Anzug.
der Bayer,Bavarian,die Bayern,Ich bin gebürtiger Bayer.
der Zwang,"force, pressure, compulsion",die Zwänge,"Wenn ein Kind nicht gern musiziert, sollte kein Zwang ausgeübt werden."
die Biologie,biology,no plural,Nehmen wir ein Beispiel aus der Biologie.
die Besonderheit,"characteristic, specific feature (B~)",die Besonderheiten,Worin liegt die Besonderheit von Alternativschulen?
die Entdeckung,discovery,die Entdeckungen,Die Entdeckung der Elektrizität veränderte das Leben der Menschen elementar.
der Dirigent,(musical) conductor,die Dirigenten,Kurt Masur ist Dirigent eines großen Orchesters.
die Butter,butter,no plural,Die Butter steht im Kühlschrank.
die Breite,width,die Breiten,Das Volumen eines Raumes berechnet sich aus Breite mal Tiefe mal Höhe.
der Betracht,consideration (Bet~),no plural,Das kommt nicht in Betracht.
die Erfindung,invention,die Erfindungen,Der Computer ist eine sehr nützliche Erfindung.
die Bearbeitung,"editing, working, handling",die Bearbeitungen,Das Finanzamt bemüht sich um eine zügige Bearbeitung des Antrags.
die Differenzierung,differentiation (D~),die Differenzierungen,Es geht vor allem um die soziale Differenzierung der Gesellschaft.
der Champion,champion,die Champions,"Wir sind die Champions, ole!"
der Ersatz,"replacement, compensation (E~)",no plural,Ich fordere Ersatz für den entstandenen Schaden.
das Fieber,fever,die Fieber,Friedemann hatte heute Nacht hohes Fieber.
der Geheimdienst,secret service,die Geheimdienste,Der Geheimdienst hat vor Terroranschlägen gewarnt.
der Grenzwert,"limiting value, limit",die Grenzwerte,Die Luftverschmutzung darf einen bestimmten Grenzwert nicht überschreiten.
das Gepäck,luggage,no plural,Mein Gepäck ist sehr schwer.
der Gesetzgeber,"legislator, legislature",die Gesetzgeber,Die Streitfrage ist durch den Gesetzgeber eindeutig entschieden.
das Handwerk,"craft, trade (not 'Handel"")",die Handwerke,Im Erzgebirge findet man noch viel traditionelles Handwerk.
der Helfer,"helper, accomplice",die Helfer,Viele freiwillige Helfer unterstützten uns.
die Feuerwehr,fire brigade,die Feuerwehren,Martin ist Mitglied in der Feuerwehr.
die Gebühr,fee,die Gebühren,Auch in Deutschland wird eine Gebühr zur Straßennutzung eingeführt.
das Gerücht,rumour,die Gerüchte,In einer Kleinstadt gibt es immer viele Gerüchte.
der Generalsekretär,Secretary-General,die Generalsekretäre,Der Generalsekretär hält eine Rede.
die Gliederung,"structure, organization (G~)",die Gliederungen,Eine chronologische Gliederung orientiert sich an der Zeit.
das Grab,grave,die Gräber,Es lagen viele Blumen auf dem Grab.
die Fluggesellschaft,airline,die Fluggesellschaften,Mit welcher Fluggesellschaft fliegst du in den Urlaub?
das Heft,notebook,die Hefte,Moritz hat das Heft mit den Hausaufgaben zuhause vergessen.
der Kompromiss,compromise,die Kompromisse,Wir müssen einen Kompromiss finden.
die Leidenschaft,passion,die Leidenschaften,Motorradfahren ist seine Leidenschaft.
die Kuh,cow,die Kühe,Der Bauer hat eine Herde von vierzig Kühen.
die Lieferung,delivery,die Lieferungen,Sie bekommen ihre Bestellung in mehreren Lieferungen.
die Leiche,corpse,die Leichen,Die Leiche wurde seziert.
die Intelligenz,intelligence,die Intelligenzen,Sie wollen die Intelligenz ihres Kindes testen lassen.
die Kartoffel,potato,die Kartoffeln,Die Kartoffel wurde aus Amerika importiert.
die Konstruktion,"construction, design (K~)",die Konstruktionen,Matthias ist für die Konstruktion der Kulissen zuständig.
der Kreislauf,circulation,die Kreisläufe,Beim Sport kommt der Kreislauf in Schwung.
die Kugel,"ball, sphere, bullet",die Kugeln,Die Erde ist eine Kugel.
der Klang,"sound, tone (K~)",die Klänge,Dieses Instrument hat einen ganz dumpfen Klang.
die Leistungsfähigkeit,"productivity, power",no plural,Vitaminmangel vermindert die Leistungsfähigkeit.
die Liga,league,die Ligen,In welcher Liga spielt Rot-Weiß Erfurt?
die Königin,queen,die Königinnen,Die Königin von England kommt bald zu Besuch.
der Jäger,hunter,die Jäger,Nach der Jagd treffen sich die Jäger zur Heimfahrt.
der Käse,cheese,die Käse,In Frankreich isst man sehr viel Käse.
die Problematik,"problematic nature, problems",die Problematiken,Wir wollen diese Problematik hier nicht weiter vertiefen.
der Nachwuchs,"offspring, new generation",no plural,In Deutschland fördert man den sportlichen Nachwuchs sehr.
die Party,party,die Partys,Die Party beginnt gegen acht Uhr.
die Schwangerschaft,pregnancy,die Schwangerschaften,Eine Schwangerschaft dauert gewöhnlich neun Monate.
das Milligramm,milligram,"die Milligramm, Milligramme",Der Körper braucht täglich 75 Milligramm Vitamin C.
der Parteitag,party conference/convention,die Parteitage,Der Vorschlag fand auf dem Parteitag breite Zustimmung.
